measure,age,ss_1_19,raw_min,raw_max
OTm_orientation,6,1,0,0
OTm_orientation,6,2,NA,NA
OTm_orientation,6,3,NA,NA
OTm_orientation,6,4,1,1
OTm_orientation,6,5,NA,NA
OTm_orientation,6,6,2,2
OTm_orientation,6,7,3,3
OTm_orientation,6,8,NA,NA
OTm_orientation,6,9,4,4
OTm_orientation,6,10,5,5
OTm_orientation,6,11,NA,NA
OTm_orientation,6,12,6,6
OTm_orientation,6,13,7,7
OTm_orientation,6,14,NA,NA
OTm_orientation,6,15,8,8
OTm_orientation,6,16,9,9
OTm_orientation,6,17,NA,NA
OTm_orientation,6,18,NA,NA
OTm_orientation,6,19,10,10
OTm_orientation,6.25,1,0,0
OTm_orientation,6.25,2,NA,NA
OTm_orientation,6.25,3,NA,NA
OTm_orientation,6.25,4,1,1
OTm_orientation,6.25,5,2,2
OTm_orientation,6.25,6,NA,NA
OTm_orientation,6.25,7,3,3
OTm_orientation,6.25,8,4,4
OTm_orientation,6.25,9,NA,NA
OTm_orientation,6.25,10,5,5
OTm_orientation,6.25,11,6,6
OTm_orientation,6.25,12,NA,NA
OTm_orientation,6.25,13,7,7
OTm_orientation,6.25,14,8,8
OTm_orientation,6.25,15,NA,NA
OTm_orientation,6.25,16,9,9
OTm_orientation,6.25,17,NA,NA
OTm_orientation,6.25,18,NA,NA
OTm_orientation,6.25,19,10,10
OTm_orientation,6.5,1,0,0
OTm_orientation,6.5,2,NA,NA
OTm_orientation,6.5,3,1,1
OTm_orientation,6.5,4,NA,NA
OTm_orientation,6.5,5,2,2
OTm_orientation,6.5,6,NA,NA
OTm_orientation,6.5,7,3,3
OTm_orientation,6.5,8,4,4
OTm_orientation,6.5,9,5,5
OTm_orientation,6.5,10,NA,NA
OTm_orientation,6.5,11,6,6
OTm_orientation,6.5,12,NA,NA
OTm_orientation,6.5,13,7,7
OTm_orientation,6.5,14,8,8
OTm_orientation,6.5,15,NA,NA
OTm_orientation,6.5,16,9,9
OTm_orientation,6.5,17,NA,NA
OTm_orientation,6.5,18,NA,NA
OTm_orientation,6.5,19,10,10
OTm_orientation,6.75,1,0,0
OTm_orientation,6.75,2,NA,NA
OTm_orientation,6.75,3,1,1
OTm_orientation,6.75,4,NA,NA
OTm_orientation,6.75,5,2,2
OTm_orientation,6.75,6,3,3
OTm_orientation,6.75,7,4,4
OTm_orientation,6.75,8,NA,NA
OTm_orientation,6.75,9,5,5
OTm_orientation,6.75,10,NA,NA
OTm_orientation,6.75,11,6,6
OTm_orientation,6.75,12,7,7
OTm_orientation,6.75,13,8,8
OTm_orientation,6.75,14,NA,NA
OTm_orientation,6.75,15,9,9
OTm_orientation,6.75,16,NA,NA
OTm_orientation,6.75,17,NA,NA
OTm_orientation,6.75,18,10,10
OTm_orientation,6.75,19,NA,NA
OTm_orientation,7,1,0,0
OTm_orientation,7,2,NA,NA
OTm_orientation,7,3,1,1
