thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item1.stopped,sound_1.stopped,item2.started,sound_2.started,image_L.started,image_R.started,sound_2.stopped,item2.stopped,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,493.9335023984313,493.96438339725137,493.9572644084692,497.7938764989376,497.7938764989376,497.86853539943695,497.8678008198738,505.60032349824905,505.60032349824905,505.1315708979964,505.1315708979964,506.096741899848,508.36017790064216,p,1,2249.1544000804424,None,3.3179938929855863,7.229,2.178726131860124,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,508.7582185976207,508.78809740021825,508.7838382266462,516.3843021988869,516.3843021988869,516.451237000525,516.4506099179387,521.0417190007865,521.0417190007865,520.554409198463,520.554409198463,521.5383164994419,533.5905831977725,p,0,12035.325799137354,None,7.091,4.085811725284047,1.7355180504571663,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,533.9235251992941,533.9568017981946,533.9491781465708,542.0803474001586,542.0755068995059,542.2144264988601,542.213515318185,546.2062047980726,546.2062047980726,545.7764980979264,545.7764980979264,546.7026796974242,548.1167928986251,w,1,1398.344200104475,None,7.611,3.493325704732784,2.178726131860124,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,548.4062841981649,548.4347975999117,548.4266053855418,553.5827354006469,553.5665019005537,553.7662086002529,553.7656719192862,556.3948516994715,556.3948516994715,555.9255376979709,555.9255376979709,556.8913099989295,570.4950629994273,p,0,13588.78380060196,None,4.636329208598344,2.128,2.178726131860124,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,570.7950471974909,570.8235203996301,570.819901406765,574.9453691989183,574.9378695003688,575.1119554005563,575.111347220093,576.8130060993135,576.8130060993135,576.3518789000809,576.3518789000809,577.3066276982427,585.0701912008226,w,1,7747.786700725555,None,3.607,1.200665998898973,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,585.3969246000051,585.4239204004407,585.4129443272948,587.6590081006289,587.6590081006289,587.7777856998146,587.7769438207149,593.3987656980753,593.3987656980753,592.9304878003895,592.9304878003895,593.8947873003781,619.2605282999575,w,0,25350.982800126076,None,1.7029684641993748,5.116,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,619.5694142989814,619.5977252982557,619.5864934064448,624.7586036995053,624.7546673975885,624.8929504007101,624.8924431197345,626.923348698765,626.923348698765,626.4882345981896,626.4882345981896,627.4199782982469,631.5931285992265,w,1,4160.304598510265,None,4.617,1.536865793434033,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,631.897855900228,631.929605897516,631.919490903616,637.4096732996404,637.4064727984369,637.575231898576,637.5744674198329,639.7216717973351,639.7216717973351,639.2961503006518,639.2961503006518,640.2183320000768,640.6859271973372,w,1,454.63040098547935,None,4.968,1.653703543812059,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,640.9747733995318,641.0029850974679,640.9955571860074,647.636639598757,647.636639598757,647.7639667987823,647.7633502177894,651.0644913986325,651.0644913986325,650.556060899049,650.556060899049,651.553972799331,659.925442699343,w,1,8362.660203129053,None,6.0699310033623055,2.786,2.178726131860124,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,660.2673242986202,660.2967788986862,660.2841697469353,662.6215554997325,662.6187300980091,662.7535935975611,662.7530232176184,667.2109411992133,667.2109411992133,666.7094868980348,666.7256948985159,667.7074160985649,669.1555745005608,p,1,1437.882900238037,None,1.8161988981247703,3.957,2.178726131860124,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.1556601002812,669.169116999954,672.1638230979443,,,,,,,,
