thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item1.stopped,sound_1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,305.8397488000337,305.8613320000004,305.854004050052,313.1700225000386,313.16990223003666,312.9254454000038,312.9254454000038,322.1243020000402,322.1243020000402,322.62114640005166,322.62114640005166,323.1035009000334,326.7371361000114,p,1,3625.0160000054166,None,6.5576041637980165,8.941,1.363455276754853,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,326.96684670000104,326.98900270002196,326.98635775005096,331.0025176000199,331.0024849300447,330.75507630000357,330.75507630000357,333.6246222000336,333.6246222000336,334.12072550004814,334.12072550004814,334.61943130003056,348.73784390004585,w,1,14102.709400001913,None,3.258,2.6159691887721053,1.2454275126723697,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,349.04726190003566,349.07064360001823,349.0690973000601,355.96792770002503,355.9678506300028,355.8051085000043,355.8051085000043,360.96733210003003,360.96733210003003,361.46924710000167,361.46924710000167,361.96777760004625,366.0349832000211,w,1,4062.757900042925,None,6.227,4.999889545268232,1.2454275126723697,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,366.2734751000535,366.29780580004444,366.3007275800104,373.2170452999999,373.2167957300029,372.98476250004023,372.98476250004023,378.50449160003336,378.50449160003336,379.0016434999998,379.0016434999998,379.5002742000506,388.01839350000955,p,0,8502.006899972912,None,6.171,5.2829347619473,1.1681007390909666,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,388.31911370001035,388.3432915000012,388.333376070013,394.8492704000091,394.8489749300119,394.6656932000187,394.6656932000187,402.1023050000076,402.1023050000076,402.60045740002533,402.60045740002533,403.09897950000595,406.8831564000575,p,1,3774.833799980115,None,5.820491298161139,7.249,1.2454275126723697,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,407.1043832000578,407.12539420003304,407.1321832500107,416.09809280000627,416.0978408300492,415.83123480004724,415.8550724000088,422.70499440003186,422.70499440003186,423.18272970005637,423.18272970005637,423.6812055000337,424.4826123000239,w,1,794.6404999820516,None,8.207,6.589705074356252,1.2454275126723697,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,424.7161656000535,424.7365925000049,424.73122935005813,429.41404120001243,429.41379943001664,429.180853900034,429.16514440003084,434.01443030004157,434.01443030004157,434.51534540002467,434.51534540002467,435.0139117000508,440.63236240000697,w,0,5601.360999979079,None,3.931167789152811,4.592,1.1681007390909666,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,440.86015680001583,440.8821981000365,440.88072995006223,448.0797045000363,448.07953433000364,447.8352369000204,447.8352369000204,456.1122678000247,456.1122678000247,456.61419930000557,456.61419930000557,457.1126554000075,458.4140196000226,p,1,1287.9618000006303,None,6.444373452757802,8.026,1.2454275126723697,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,458.6374515000498,458.65856000001077,458.6630363500153,461.81299640005454,461.8121301300183,461.56207530002575,461.56207530002575,463.74534640001366,463.74534640001366,464.2470764000318,464.2470764000318,464.7458565000561,474.1798497000127,w,1,9418.047700019088,None,2.3949571068689672,1.923,1.2454275126723697,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,474.4125912000309,474.4334796000039,474.42884545002016,480.91147640004056,480.9112353300501,480.67569500004174,480.67569500004174,485.8194222000311,485.8194222000311,486.3149457000545,486.3149457000545,486.8115932000219,488.42902239999967,p,0,1607.4620999861509,None,5.72,4.896837925512648,1.1681007390909666,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
