thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_2.stopped,item2.stopped,image_L.started,image_R.started,key_resp.started,sound_1.stopped,item1.stopped,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,270.29645649995655,270.4167398000136,270.3498189989012,275.9489323999733,275.9489596999716,282.46423260029405,282.46423260029405,282.93081700010225,282.93081700010225,283.4306900999509,276.5154760000296,276.56543330010027,284.46652280027047,p,1,1025.5338000133634,None,5.638517861825482,6.476,1.1485287727550766,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,285.48189300019294,285.61362090008333,285.53013659883294,290.52926240023226,290.5292356001679,296.3613857999444,296.3613857999444,296.8279724000022,296.8279724000022,297.32790220016614,291.1124126003124,291.179066200275,298.3969618002884,p,1,1052.3681999184191,None,5.051680147361249,5.802,1.1485287727550766,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,299.4307380001992,299.5607479000464,299.4772776986938,307.44241060037166,307.4424050000031,316.32390430010855,316.32390430010855,316.7904428001493,316.7904428001493,317.29039210034534,308.0256425999105,308.09229540033266,317.8428711001761,p,1,550.2911997027695,None,8.030794000263905,8.858,1.1030042608126809,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,318.6868986003101,318.79001630004495,318.7398502990604,320.28977459995076,320.2897479000036,321.92275980021805,321.92275980021805,322.3726886003278,322.3726886003278,322.87267430033535,320.706326500047,320.73971120035276,325.95756720006466,p,1,3070.6614004448056,None,1.437,1.5850171227878225,1.1030042608126809,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,326.9576366003603,327.0717581002973,327.00501279900783,333.0205148002133,333.02058079992423,339.535782400053,339.535782400053,340.01900310022756,340.01900310022756,340.5355576002039,333.5870385002345,333.6369912000373,341.42148840008304,p,1,876.8556001596153,None,6.063232119909561,6.499,1.0718705587172768,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,342.4111673999578,342.53518870007247,342.46827089875006,348.21735250018537,348.21732550035233,354.44936920003965,354.44936920003965,354.9160160999745,354.9160160999745,355.4158030003309,348.78395229997113,348.8337954999879,355.93585200002417,p,1,509.769500233233,None,5.784280526764007,6.2,1.0718705587172768,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,356.936031000223,357.0655717002228,356.9821247988846,364.69726940011606,364.69723840025256,372.1124128000811,372.1124128000811,372.59557959996164,372.59557959996164,373.0955020003021,365.26374720036983,365.3304731999524,374.68112690001726,p,0,1577.4874999187887,None,7.762,7.389830791998684,1.0503623450220647,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,375.6096491003409,375.711638700217,375.6615157987457,378.8110347003676,378.8111160003115,381.74375060014427,381.74375060014427,382.21033430006355,382.21033430006355,382.7102214000188,379.32756350003183,379.344314600341,383.46321680024266,p,0,747.3109997808933,None,3.119,2.909866284351119,1.0718705587172768,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,384.5362944002263,384.6598412003368,384.57623909884137,385.0263950000517,385.02636810033584,385.6764882002026,385.6764882002026,386.1262374999933,386.1262374999933,386.62609530007467,385.64296300010756,385.70959500037134,389.54471709998325,w,0,2901.017500087619,None,0.55,0.6066523434469745,1.1030042608126809,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,390.4127210001461,390.542153400369,390.4585441991221,391.3251571999863,391.3251275002491,392.02512599993497,392.02512599993497,392.49150349991396,392.49150349991396,392.9914621999487,391.7583489003591,391.8250188003294,394.4447503001429,w,1,1441.170800011605,None,0.7695142777459013,0.67,1.1485287727550766,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
